meaningful_components=156
shape_01.svg	area=538799	bbox=(0, 0, 10067, 13524)
shape_02.svg	area=723174	bbox=(4380, 145, 5699, 751)
shape_03.svg	area=161794	bbox=(4137, 226, 4558, 989)
shape_04.svg	area=161875	bbox=(5527, 226, 5948, 989)
shape_05.svg	area=269827	bbox=(5909, 283, 6406, 1059)
shape_06.svg	area=269877	bbox=(3679, 284, 4176, 1059)
shape_07.svg	area=244308	bbox=(6366, 434, 6852, 1181)
shape_08.svg	area=245829	bbox=(3233, 440, 3724, 1186)
shape_09.svg	area=200180	bbox=(2828, 649, 3336, 1313)
shape_10.svg	area=201753	bbox=(6749, 654, 7258, 1308)
shape_11.svg	area=106587	bbox=(4692, 771, 5392, 948)
shape_12.svg	area=280122	bbox=(7189, 915, 7958, 1719)
shape_13.svg	area=281286	bbox=(2132, 921, 2896, 1714)
shape_14.svg	area=53049	bbox=(4669, 1031, 5016, 1203)
shape_15.svg	area=53224	bbox=(5070, 1031, 5421, 1198)
shape_16.svg	area=55578	bbox=(4252, 1048, 4616, 1244)
shape_17.svg	area=55639	bbox=(5469, 1048, 5832, 1244)
shape_18.svg	area=56975	bbox=(3836, 1100, 4211, 1325)
shape_19.svg	area=55786	bbox=(5875, 1100, 6250, 1319)
shape_20.svg	area=58324	bbox=(3424, 1181, 3811, 1429)
shape_21.svg	area=57725	bbox=(6279, 1182, 6661, 1430)
shape_22.svg	area=58239	bbox=(6679, 1298, 7066, 1568)
shape_23.svg	area=56904	bbox=(3025, 1303, 3406, 1568)
shape_24.svg	area=126260	bbox=(2271, 1447, 3018, 1939)
shape_25.svg	area=124284	bbox=(7067, 1448, 7813, 1934)
shape_26.svg	area=808482	bbox=(4513, 1459, 5566, 2315)
shape_27.svg	area=144398	bbox=(4009, 1506, 4495, 1887)
shape_28.svg	area=144025	bbox=(5591, 1506, 6076, 1887)
shape_29.svg	area=146210	bbox=(3506, 1587, 4014, 2015)
shape_30.svg	area=144971	bbox=(6071, 1592, 6580, 2014)
shape_31.svg	area=153140	bbox=(3001, 1732, 3539, 2205)
shape_32.svg	area=152426	bbox=(6547, 1732, 7089, 2206)
shape_33.svg	area=158596	bbox=(2503, 1935, 3058, 2449)
shape_34.svg	area=156676	bbox=(7027, 1940, 7582, 2449)
shape_35.svg	area=57203	bbox=(1837, 1946, 2693, 2530)
shape_36.svg	area=55770	bbox=(7392, 1951, 8242, 2536)
shape_37.svg	area=131534	bbox=(4108, 1987, 4552, 2373)
shape_38.svg	area=130288	bbox=(5538, 1992, 5978, 2373)
shape_39.svg	area=130409	bbox=(3645, 2074, 4106, 2484)
shape_40.svg	area=130661	bbox=(5985, 2074, 6441, 2490)
shape_41.svg	area=159998	bbox=(2040, 2201, 2600, 2751)
shape_42.svg	area=137433	bbox=(6413, 2201, 6904, 2663)
shape_43.svg	area=159142	bbox=(7490, 2201, 8045, 2750)
shape_44.svg	area=136849	bbox=(3181, 2206, 3673, 2663)
shape_45.svg	area=142822	bbox=(2729, 2392, 3243, 2889)
shape_46.svg	area=141176	bbox=(6847, 2397, 7356, 2889)
shape_47.svg	area=2414243	bbox=(1246, 2427, 8839, 9707)
shape_48.svg	area=74468	bbox=(1831, 2531, 2160, 3086)
shape_49.svg	area=75981	bbox=(7925, 2531, 8254, 3080)
shape_50.svg	area=23916581	bbox=(1396, 2566, 8694, 7512)
shape_51.svg	area=142780	bbox=(2312, 2641, 2826, 3167)
shape_52.svg	area=141910	bbox=(7265, 2641, 7779, 3167)
shape_53.svg	area=111744	bbox=(1994, 2937, 2433, 3416)
shape_54.svg	area=110811	bbox=(7653, 2942, 8086, 3416)
shape_55.svg	area=97395	bbox=(8238, 3186, 8885, 4778)
shape_56.svg	area=96866	bbox=(1194, 3191, 1842, 4783)
shape_57.svg	area=112295	bbox=(1709, 3208, 2148, 3695)
shape_58.svg	area=111742	bbox=(7941, 3209, 8376, 3700)
shape_59.svg	area=33100	bbox=(1611, 3515, 1882, 3816)
shape_60.svg	area=33119	bbox=(8203, 3516, 8474, 3816)
shape_61.svg	area=94960	bbox=(8295, 3672, 8700, 4465)
shape_62.svg	area=75150	bbox=(1484, 3678, 1790, 4163)
shape_63.svg	area=18039	bbox=(1078, 4895, 1193, 5195)
shape_64.svg	area=18464	bbox=(8881, 4895, 8995, 5195)
shape_65.svg	area=30091	bbox=(951, 5456, 1048, 5953)
shape_66.svg	area=31315	bbox=(9037, 5456, 9134, 5959)
shape_67.svg	area=260212	bbox=(1009, 5543, 1627, 6359)
shape_68.svg	area=258391	bbox=(8458, 5549, 9071, 6358)
shape_69.svg	area=217244	bbox=(1044, 6215, 1876, 6770)
shape_70.svg	area=216935	bbox=(8208, 6215, 9036, 6770)
shape_71.svg	area=2961451	bbox=(2243, 6314, 7843, 9574)
shape_72.svg	area=235141	bbox=(1315, 6383, 2085, 7059)
shape_73.svg	area=235190	bbox=(7999, 6383, 8770, 7059)
shape_74.svg	area=284114	bbox=(835, 6435, 1372, 7447)
shape_75.svg	area=282626	bbox=(8713, 6435, 9244, 7448)
shape_76.svg	area=2439027	bbox=(3523, 6447, 6562, 7981)
shape_77.svg	area=124650	bbox=(2017, 6685, 2624, 7488)
shape_78.svg	area=123602	bbox=(7461, 6690, 8068, 7488)
shape_79.svg	area=237381	bbox=(1524, 6783, 2207, 7442)
shape_80.svg	area=237383	bbox=(7873, 6783, 8566, 7442)
shape_81.svg	area=243256	bbox=(3980, 6945, 6105, 9070)
shape_82.svg	area=1805301	bbox=(4166, 7124, 5914, 8878)
shape_83.svg	area=254545	bbox=(1785, 7159, 2490, 7836)
shape_84.svg	area=252756	bbox=(7600, 7159, 8300, 7836)
shape_85.svg	area=237900	bbox=(8417, 7194, 9123, 7836)
shape_86.svg	area=238683	bbox=(962, 7199, 1668, 7836)
shape_87.svg	area=328504	bbox=(2069, 7466, 2815, 8264)
shape_88.svg	area=327003	bbox=(7271, 7466, 8011, 8264)
shape_89.svg	area=239184	bbox=(1235, 7547, 1911, 8230)
shape_90.svg	area=239034	bbox=(8173, 7547, 8845, 8230)
shape_91.svg	area=117039	bbox=(470, 7762, 915, 8270)
shape_92.svg	area=116786	bbox=(9164, 7762, 9615, 8265)
